Random Seed:  3407
# of training samples:  538
Encoder(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=2048, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=2048, out_features=1024, bias=True)
  (linear_log_var): Linear(in_features=2048, out_features=1024, bias=True)
)
Generator(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2048, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=1, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096, bias=True)
  (fc2): Linear(in_features=4096, out_features=4096, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=1024, out_features=4096, bias=True)
  (fc3): Linear(in_features=4096, out_features=1024, bias=True)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/300]  Loss_D: -9.7494 Loss_G: -0.6677, Wasserstein_dist:12.4098, vae_loss_seen:459.1303 GZSL: seen=0.9008, unseen=0.3490, h=0.5030 ZSL: unseen accuracy=1.0000
[1/300]  Loss_D: -4.3056 Loss_G: -6.6877, Wasserstein_dist:5.5910, vae_loss_seen:350.3117 GZSL: seen=0.9206, unseen=0.3594, h=0.5170 ZSL: unseen accuracy=0.9948
[2/300]  Loss_D: -2.9735 Loss_G: -10.1249, Wasserstein_dist:4.0577, vae_loss_seen:314.9843 GZSL: seen=0.8761, unseen=0.3490, h=0.4991 ZSL: unseen accuracy=0.9844
[3/300]  Loss_D: -2.4537 Loss_G: -9.1012, Wasserstein_dist:3.3664, vae_loss_seen:307.1099 GZSL: seen=0.8810, unseen=0.4010, h=0.5512 ZSL: unseen accuracy=0.8594
[4/300]  Loss_D: -2.0244 Loss_G: -9.9240, Wasserstein_dist:2.5737, vae_loss_seen:310.3637 GZSL: seen=0.6944, unseen=0.6250, h=0.6579 ZSL: unseen accuracy=0.9635
[5/300]  Loss_D: -2.2149 Loss_G: -10.6276, Wasserstein_dist:2.6373, vae_loss_seen:296.4673 GZSL: seen=0.8433, unseen=0.5365, h=0.6557 ZSL: unseen accuracy=0.9375
[6/300]  Loss_D: -2.1244 Loss_G: -11.8710, Wasserstein_dist:2.4903, vae_loss_seen:300.0138 GZSL: seen=0.8254, unseen=0.5469, h=0.6579 ZSL: unseen accuracy=1.0000
[7/300]  Loss_D: -1.5825 Loss_G: -13.8834, Wasserstein_dist:1.8319, vae_loss_seen:287.2316 GZSL: seen=0.7968, unseen=0.6510, h=0.7166 ZSL: unseen accuracy=1.0000
[8/300]  Loss_D: -1.7590 Loss_G: -12.0388, Wasserstein_dist:2.1074, vae_loss_seen:285.2278 GZSL: seen=0.8027, unseen=0.8073, h=0.8050 ZSL: unseen accuracy=0.9792
[9/300]  Loss_D: -1.6999 Loss_G: -9.6316, Wasserstein_dist:1.9781, vae_loss_seen:285.1487 GZSL: seen=0.7996, unseen=0.7188, h=0.7570 ZSL: unseen accuracy=0.9115
[10/300]  Loss_D: -1.7906 Loss_G: -10.8750, Wasserstein_dist:2.2180, vae_loss_seen:287.4810 GZSL: seen=0.8512, unseen=0.7292, h=0.7855 ZSL: unseen accuracy=1.0000
